id,type,paper_count
liquids,Substance,1
lithium,"Element, Ion, or Isotope",2
cobalt,"Element, Ion, or Isotope",1
K,"Element, Ion, or Isotope",2
liquid phase,Laboratory Procedure,1
nickel,"Element, Ion, or Isotope",1
metal oxide,Inorganic Chemical,3
oxygen,"Element, Ion, or Isotope",2
soft X-ray absorption spectroscopy,Laboratory Procedure,1
Electrons,"Element, Ion, or Isotope",3
electron microscopy analysis,Laboratory Procedure,1
Phenol,Organic Chemical,1
apatites,Inorganic Chemical,1
samples,Substance,5
Bovin Serum Albumin,"Amino Acid, Peptide, or Protein",1
Molecule,Substance,6
benzoic acid,Organic Chemical,2
para-hydroxybenzoic acid,Organic Chemical,1
"3,4-dihydroxybenzoic acid",Organic Chemical,1
Dielectric Spectroscopy,Laboratory Procedure,2
